"COUNTRIES","SPECIES","ABUNDANCE","TEMPERATURE","OVEREXPLOITATION","RECOVERY","ADAPTIVE.MNG","CATCH.DEP","FLEET.MOBILITY","GEAR.DIVERSITY","STRENGTH","QUOTAS","PROPERTY.RIGHTS","ORGANIZATION","DIMENSION","Resilience_Index"
"BE","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.0343877883349145,0.941877022871939,0.21603331598126,0,1,0.976230955487013,0.686507936507937,0,"ecological",0.742509751024435
"BE","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.0343877883349145,0.941877022871939,0.21603331598126,0,1,0.976230955487013,0.686507936507937,0,"institutional",0.665684722998737
"BE","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.0343877883349145,0.941877022871939,0.21603331598126,0,1,0.976230955487013,0.686507936507937,0,"socioeconomic",0.298074531797028
"DK","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.223153583396678,0.799654763189125,0.79281045751634,0.238095238095238,0.548672566371681,0.966755115961611,0.80952380952381,0.032258064516129,"ecological",0.742509751024435
"DK","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.223153583396678,0.799654763189125,0.79281045751634,0.238095238095238,0.548672566371681,0.966755115961611,0.80952380952381,0.032258064516129,"institutional",0.589302389093308
"DK","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.223153583396678,0.799654763189125,0.79281045751634,0.238095238095238,0.548672566371681,0.966755115961611,0.80952380952381,0.032258064516129,"socioeconomic",0.513428510549345
"DE","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.106423183639233,0.979177904844104,0.435733703510903,0.19047619047619,0.592920353982301,0.976066938123053,0,0.354838709677419,"ecological",0.742509751024435
"DE","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.106423183639233,0.979177904844104,0.435733703510903,0.19047619047619,0.592920353982301,0.976066938123053,0,0.354838709677419,"institutional",0.480956500445693
"DE","European hake",0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.106423183639233,0.979177904844104,0.435733703510903,0.19047619047619,0.592920353982301,0.976066938123053,0,0.354838709677419,"socioeconomic",0.427952745617607
"ES","European hake",0.482031892306608,0.642857142857143,0.802121348949767,0.71215972621027,0.523558768831605,0.805653623637933,0.270640291514836,0.666666666666667,0,0.844005861403374,1,1,"ecological",0.659792527580947
"ES","European hake",0.482031892306608,0.642857142857143,0.802121348949767,0.71215972621027,0.523558768831605,0.805653623637933,0.270640291514836,0.666666666666667,0,0.844005861403374,1,1,"institutional",0.711001465350843
